id,J_Job_POW,J_Pop_PUR,J_Val_Job,J_Val_Pop,J_BiVar,Long,Lat
1713,"9","697",A,"4",A4,149.025087,-35.197450
1712,"7","774",A,"4",A4,149.024975,-35.192945
1715,"29","282",A,"2",A2,149.025311,-35.206462
1714,"24","337",A,"2",A2,149.025199,-35.201956
1717,"18","203",A,"2",A2,149.025535,-35.215473
1716,"17","251",A,"2",A2,149.025423,-35.210967
1719,"228","295",B,"2",B2,149.025759,-35.224485
1718,"70","486",A,"3",A3,149.025647,-35.219979
1721,"22","423",A,"3",A3,149.025983,-35.233496
1720,"59","250",A,"2",A2,149.025871,-35.228990
1723,"6","63",A,"1",A1,149.026207,-35.242508
1722,"18","348",A,"3",A3,149.026095,-35.238002
1725,"2","0",A,"1",A1,149.026431,-35.251519
1724,"10","68",A,"1",A1,149.026319,-35.247013
1727,"0","0",A,"1",A1,149.026656,-35.260530
1726,"1","0",A,"1",A1,149.026543,-35.256025
1709,"0","0",A,"1",A1,149.024640,-35.179427
1711,"13","496",A,"3",A3,149.024863,-35.188439
1710,"3","141",A,"2",A2,149.024751,-35.183933
1617,"0","0",A,"1",A1,149.020715,-35.242599
1616,"1","5",A,"1",A1,149.020603,-35.238094
1619,"2","0",A,"1",A1,149.020938,-35.251611
1618,"0","0",A,"1",A1,149.020826,-35.247105
1621,"0","0",A,"1",A1,149.021162,-35.260622
1620,"1","0",A,"1",A1,149.021050,-35.256117
1623,"0","0",A,"1",A1,149.021386,-35.269634
1622,"0","0",A,"1",A1,149.021274,-35.265128
1625,"3","0",A,"1",A1,149.021610,-35.278645
1624,"2","1",A,"1",A1,149.021498,-35.274139
1627,"1","0",A,"1",A1,149.021834,-35.287657
1626,"0","0",A,"1",A1,149.021722,-35.283151
1629,"0","0",A,"1",A1,149.022058,-35.296668
1628,"0","0",A,"1",A1,149.021946,-35.292162
1631,"1","0",A,"1",A1,149.022283,-35.305679
1630,"0","0",A,"1",A1,149.022170,-35.301174
1605,"15","423",A,"3",A3,149.019375,-35.188530
1604,"2","0",A,"1",A1,149.019263,-35.184025
1607,"13","675",A,"4",A4,149.019598,-35.197542
1606,"21","803",A,"4",A4,149.019486,-35.193036
1609,"18","252",A,"2",A2,149.019821,-35.206553
1608,"19","375",A,"3",A3,149.019709,-35.202048
1611,"16","273",A,"2",A2,149.020044,-35.215565
1610,"16","458",A,"3",A3,149.019933,-35.211059
1613,"273","393",B,"3",B3,149.020268,-35.224576
1612,"162","368",A,"3",A3,149.020156,-35.220071
1615,"11","275",A,"2",A2,149.020491,-35.233588
1614,"80","400",A,"3",A3,149.020379,-35.229082
5747,"1","0",A,"1",A1,149.234396,-35.220812
1649,"0","1",A,"1",A1,149.024306,-35.386781
1648,"1","0",A,"1",A1,149.024193,-35.382275
5749,"1","0",A,"1",A1,149.234643,-35.229822
1651,"0","0",A,"1",A1,149.024531,-35.395792
5748,"0","0",A,"1",A1,149.234520,-35.225317
1650,"2","1",A,"1",A1,149.024418,-35.391286
5751,"2","0",A,"1",A1,149.234891,-35.238832
1653,"0","0",A,"1",A1,149.024756,-35.404803
5750,"0","1",A,"1",A1,149.234767,-35.234327
1652,"0","0",A,"1",A1,149.024644,-35.400298
5753,"2","0",A,"1",A1,149.235138,-35.247843
5752,"0","0",A,"1",A1,149.235014,-35.243338
5755,"3","0",A,"1",A1,149.235386,-35.256853
5754,"2","0",A,"1",A1,149.235262,-35.252348
5757,"2","1",A,"1",A1,149.235633,-35.265863
5756,"0","1",A,"1",A1,149.235509,-35.261358
5759,"1","0",A,"1",A1,149.235881,-35.274873
5758,"0","1",A,"1",A1,149.235757,-35.270368
1633,"0","1",A,"1",A1,149.022507,-35.314691
1632,"1","0",A,"1",A1,149.022395,-35.310185
1635,"1","0",A,"1",A1,149.022731,-35.323702
1634,"0","1",A,"1",A1,149.022619,-35.319196
1637,"8","0",A,"1",A1,149.022956,-35.332713
1636,"4","6",A,"1",A1,149.022844,-35.328208
1639,"8","0",A,"1",A1,149.023181,-35.341725
1638,"13","0",A,"1",A1,149.023068,-35.337219
1641,"8","31",A,"1",A1,149.023405,-35.350736
1640,"10","22",A,"1",A1,149.023293,-35.346230
1643,"3","0",A,"1",A1,149.023630,-35.359747
1642,"0","0",A,"1",A1,149.023518,-35.355241
1645,"2","0",A,"1",A1,149.023855,-35.368758
1644,"1","0",A,"1",A1,149.023743,-35.364253
5649,"4","0",A,"1",A1,149.229893,-35.256954
1647,"0","2",A,"1",A1,149.024080,-35.377770
5648,"1","0",A,"1",A1,149.229770,-35.252449
1646,"0","1",A,"1",A1,149.023968,-35.373264
5651,"2","0",A,"1",A1,149.230140,-35.265964
5650,"3","0",A,"1",A1,149.230017,-35.261459
5653,"1","1",A,"1",A1,149.230387,-35.274975
5652,"2","0",A,"1",A1,149.230264,-35.270470
5655,"2","0",A,"1",A1,149.230634,-35.283985
5654,"2","0",A,"1",A1,149.230511,-35.279480
5657,"2","0",A,"1",A1,149.230882,-35.292995
5656,"1","0",A,"1",A1,149.230758,-35.288490
5659,"2","0",A,"1",A1,149.231129,-35.302005
5658,"3","0",A,"1",A1,149.231005,-35.297500
5661,"1","0",A,"1",A1,149.231377,-35.311015
5660,"3","0",A,"1",A1,149.231253,-35.306510
5663,"2","0",A,"1",A1,149.231624,-35.320025
5662,"1","0",A,"1",A1,149.231500,-35.315520
1537,"1","0",A,"1",A1,149.018130,-35.359839
1536,"0","1",A,"1",A1,149.018018,-35.355333
1539,"1","0",A,"1",A1,149.018355,-35.368850
1538,"0","0",A,"1",A1,149.018242,-35.364345
1541,"2","0",A,"1",A1,149.018579,-35.377862
1540,"0","1",A,"1",A1,149.018467,-35.373356
5641,"1","0",A,"1",A1,149.228906,-35.220913
1543,"0","0",A,"1",A1,149.018804,-35.386873
1542,"0","0",A,"1",A1,149.018691,-35.382367
5643,"3","0",A,"1",A1,149.229153,-35.229924
1545,"0","0",A,"1",A1,149.019028,-35.395884
5642,"3","2",A,"1",A1,149.229030,-35.225418
1544,"0","0",A,"1",A1,149.018916,-35.391379
5645,"2","0",A,"1",A1,149.229400,-35.238934
1547,"0","1",A,"1",A1,149.019253,-35.404895
5644,"2","1",A,"1",A1,149.229276,-35.234429
1546,"0","1",A,"1",A1,149.019141,-35.400390
5647,"1","2",A,"1",A1,149.229646,-35.247944
5646,"1","0",A,"1",A1,149.229523,-35.243439
5665,"1","0",A,"1",A1,149.231872,-35.329035
5664,"2","1",A,"1",A1,149.231748,-35.324530
5667,"15","65",A,"1",A1,149.232120,-35.338045
5666,"2","1",A,"1",A1,149.231996,-35.333540
5668,"7","33",A,"1",A1,149.232244,-35.342551
1499,"12","16",A,"1",A1,149.013886,-35.188622
1498,"0","0",A,"1",A1,149.013775,-35.184116
1501,"19","468",A,"3",A3,149.014109,-35.197633
1500,"13","293",A,"2",A2,149.013997,-35.193128
1503,"9","424",A,"3",A3,149.014331,-35.206645
1502,"20","329",A,"2",A2,149.014220,-35.202139
1521,"0","0",A,"1",A1,149.016339,-35.287748
1520,"1","0",A,"1",A1,149.016227,-35.283243
1523,"0","0",A,"1",A1,149.016562,-35.296760
1522,"1","1",A,"1",A1,149.016451,-35.292254
1525,"1","0",A,"1",A1,149.016786,-35.305771
1524,"1","0",A,"1",A1,149.016674,-35.301265
1527,"1","0",A,"1",A1,149.017010,-35.314782
1526,"0","0",A,"1",A1,149.016898,-35.310277
1529,"3","0",A,"1",A1,149.017234,-35.323794
1528,"0","0",A,"1",A1,149.017122,-35.319288
1531,"0","0",A,"1",A1,149.017458,-35.332805
1530,"2","0",A,"1",A1,149.017346,-35.328299
1533,"1","0",A,"1",A1,149.017682,-35.341816
1532,"0","0",A,"1",A1,149.017570,-35.337311
1535,"0","0",A,"1",A1,149.017906,-35.350828
1534,"1","0",A,"1",A1,149.017794,-35.346322
1505,"25","329",A,"2",A2,149.014554,-35.215657
1504,"19","310",A,"2",A2,149.014442,-35.211151
1507,"58","482",A,"3",A3,149.014777,-35.224668
1506,"24","397",A,"3",A3,149.014665,-35.220162
1509,"3","35",A,"1",A1,149.014999,-35.233680
1508,"21","543",A,"3",A3,149.014888,-35.229174
1511,"0","0",A,"1",A1,149.015222,-35.242691
1510,"1","0",A,"1",A1,149.015111,-35.238185
1513,"2","0",A,"1",A1,149.015446,-35.251703
1512,"1","0",A,"1",A1,149.015334,-35.247197
1515,"1","0",A,"1",A1,149.015669,-35.260714
1514,"0","0",A,"1",A1,149.015557,-35.256208
1517,"1","0",A,"1",A1,149.015892,-35.269725
1516,"1","0",A,"1",A1,149.015780,-35.265220
1519,"0","0",A,"1",A1,149.016115,-35.278737
1518,"1","0",A,"1",A1,149.016004,-35.274231
1425,"0","1",A,"1",A1,149.011959,-35.332897
1424,"0","0",A,"1",A1,149.011848,-35.328391
1427,"0","0",A,"1",A1,149.012183,-35.341908
1426,"0","0",A,"1",A1,149.012071,-35.337403
1429,"0","0",A,"1",A1,149.012406,-35.350920
1428,"1","0",A,"1",A1,149.012295,-35.346414
1431,"1","2",A,"1",A1,149.012630,-35.359931
1430,"0","0",A,"1",A1,149.012518,-35.355425
1433,"0","1",A,"1",A1,149.012854,-35.368942
1432,"2","0",A,"1",A1,149.012742,-35.364437
1435,"1","0",A,"1",A1,149.013078,-35.377953
1434,"0","0",A,"1",A1,149.012966,-35.373448
5535,"2","1",A,"1",A1,149.223416,-35.221014
1437,"1","0",A,"1",A1,149.013302,-35.386965
1436,"1","0",A,"1",A1,149.013190,-35.382459
1439,"0","0",A,"1",A1,149.013526,-35.395976
1438,"1","0",A,"1",A1,149.013414,-35.391470
1409,"0","0",A,"1",A1,149.010175,-35.260805
1408,"3","0",A,"1",A1,149.010064,-35.256300
1411,"1","0",A,"1",A1,149.010398,-35.269817
1410,"1","0",A,"1",A1,149.010287,-35.265311
1413,"0","0",A,"1",A1,149.010621,-35.278828
1412,"1","0",A,"1",A1,149.010509,-35.274323
1415,"1","0",A,"1",A1,149.010844,-35.287840
1414,"1","1",A,"1",A1,149.010732,-35.283334
1417,"0","0",A,"1",A1,149.011067,-35.296851
1416,"1","0",A,"1",A1,149.010955,-35.292346
1419,"2","0",A,"1",A1,149.011290,-35.305863
1418,"0","0",A,"1",A1,149.011178,-35.301357
1421,"1","1",A,"1",A1,149.011513,-35.314874
1420,"0","1",A,"1",A1,149.011401,-35.310368
5553,"3","0",A,"1",A1,149.225634,-35.302106
1423,"1","0",A,"1",A1,149.011736,-35.323885
5552,"5","0",A,"1",A1,149.225510,-35.297601
1422,"2","0",A,"1",A1,149.011624,-35.319380
5555,"0","0",A,"1",A1,149.225880,-35.311117
5554,"4","0",A,"1",A1,149.225757,-35.306611
5557,"2","0",A,"1",A1,149.226127,-35.320127
5556,"4","0",A,"1",A1,149.226004,-35.315622
5559,"2","0",A,"1",A1,149.226375,-35.329137
5558,"5","0",A,"1",A1,149.226251,-35.324632
5561,"13","66",A,"1",A1,149.226622,-35.338147
5560,"3","0",A,"1",A1,149.226498,-35.333642
5562,"16","67",A,"1",A1,149.226745,-35.342652
5537,"2","0",A,"1",A1,149.223662,-35.230025
5536,"1","0",A,"1",A1,149.223539,-35.225519
5539,"1","0",A,"1",A1,149.223908,-35.239035
5538,"0","0",A,"1",A1,149.223785,-35.234530
1440,"0","0",A,"1",A1,149.013638,-35.400482
5541,"3","0",A,"1",A1,149.224154,-35.248045
5540,"3","0",A,"1",A1,149.224031,-35.243540
5543,"3","0",A,"1",A1,149.224401,-35.257055
5542,"1","0",A,"1",A1,149.224278,-35.252550
5545,"3","0",A,"1",A1,149.224647,-35.266066
5544,"4","1",A,"1",A1,149.224524,-35.261560
5547,"1","0",A,"1",A1,149.224893,-35.275076
5546,"2","0",A,"1",A1,149.224770,-35.270571
5549,"1","0",A,"1",A1,149.225140,-35.284086
5548,"0","0",A,"1",A1,149.225017,-35.279581
5551,"0","0",A,"1",A1,149.225387,-35.293096
5550,"3","0",A,"1",A1,149.225263,-35.288591
5456,"2","12",A,"1",A1,149.221247,-35.342753
5441,"1","0",A,"1",A1,149.219400,-35.275177
5440,"4","0",A,"1",A1,149.219277,-35.270672
5443,"5","0",A,"1",A1,149.219646,-35.284187
5442,"4","0",A,"1",A1,149.219523,-35.279682
5445,"3","0",A,"1",A1,149.219892,-35.293197
5444,"2","0",A,"1",A1,149.219769,-35.288692
5447,"2","0",A,"1",A1,149.220138,-35.302207
5446,"3","0",A,"1",A1,149.220015,-35.297702
5449,"0","0",A,"1",A1,149.220384,-35.311218
5448,"2","0",A,"1",A1,149.220261,-35.306713
5451,"4","0",A,"1",A1,149.220631,-35.320228
5450,"4","0",A,"1",A1,149.220508,-35.315723
5453,"2","0",A,"1",A1,149.220877,-35.329238
5452,"3","0",A,"1",A1,149.220754,-35.324733
5455,"15","6",A,"1",A1,149.221124,-35.338248
5454,"20","0",A,"1",A1,149.221001,-35.333743
1393,"2","0",A,"1",A1,149.008397,-35.188713
1395,"7","159",A,"2",A2,149.008619,-35.197725
1394,"11","0",A,"1",A1,149.008508,-35.193219
1397,"21","526",A,"3",A3,149.008841,-35.206736
1396,"21","209",A,"2",A2,149.008730,-35.202230
1399,"17","340",A,"2",A2,149.009063,-35.215748
1398,"22","432",A,"3",A3,149.008952,-35.211242
1401,"25","492",A,"3",A3,149.009286,-35.224759
1400,"18","487",A,"3",A3,149.009174,-35.220254
1403,"1","0",A,"1",A1,149.009508,-35.233771
1402,"18","398",A,"3",A3,149.009397,-35.229265
1405,"0","0",A,"1",A1,149.009730,-35.242782
1404,"0","1",A,"1",A1,149.009619,-35.238277
1407,"0","1",A,"1",A1,149.009953,-35.251794
1406,"0","0",A,"1",A1,149.009841,-35.247288
1297,"0","0",A,"1",A1,149.004016,-35.233862
1296,"13","109",A,"1",A1,149.003905,-35.229356
1299,"2","0",A,"1",A1,149.004238,-35.242874
1298,"1","0",A,"1",A1,149.004127,-35.238368
1301,"1","0",A,"1",A1,149.004460,-35.251885
1300,"0","0",A,"1",A1,149.004349,-35.247379
