fid,id,left,top,right,bottom,J_Attached,J_Secondar,J_Medium d,J_Apartmen,J_Total_Ne,Long,Lat
7056,7056,691805.209294467116706,6083605.034500000998378,692093.884429062018171,6083355.034500000067055,"0","5.620256426","0","0","5.620256426",149.11301,-35.37354
7057,7057,691805.209294467116706,6083355.034500000067055,692093.884429062018171,6083105.034500000067055,"6","15.6770148","0","0","21.6770148",149.11307,-35.37580
7058,7058,691805.209294467116706,6083105.034500000067055,692093.884429062018171,6082855.034500000067055,"3.002501121","11.52887881","0","0","14.53137993",149.11313,-35.37805
7059,7059,691805.209294467116706,6082855.034500000067055,692093.884429062018171,6082605.034500000067055,"7.463604213","22.13669608","0","0","29.60030029",149.11319,-35.38030
7060,7060,691805.209294467116706,6082605.034500000067055,692093.884429062018171,6082355.034500000067055,"9.303624296","7.937001237","0","0","17.24062553",149.11325,-35.38256
7061,7061,691805.209294467116706,6082355.034500000067055,692093.884429062018171,6082105.034500000067055,,,,,,149.11331,-35.38481
7064,7064,691805.209294467116706,6081605.034500000067055,692093.884429062018171,6081355.034499999135733,"0","0","0","0","0",149.11348,-35.39157
7065,7065,691805.209294467116706,6081355.034499999135733,692093.884429062018171,6081105.034500000067055,"11.31236579","7.921218026","0","0","19.23358381",149.11354,-35.39382
7066,7066,691805.209294467116706,6081105.034500000067055,692093.884429062018171,6080855.034500000067055,"11.02559602","11.77241938","0","0","22.7980154",149.11360,-35.39607
7067,7067,691805.209294467116706,6080855.034500000067055,692093.884429062018171,6080605.034500000067055,"9.64322243","12.58161607","0","0","22.2248385",149.11366,-35.39832
7068,7068,691805.209294467116706,6080605.034500000067055,692093.884429062018171,6080355.034500000067055,"0.039475852","21.49672013","0","0","21.53619598",149.11372,-35.40058
7069,7069,691805.209294467116706,6080355.034500000067055,692093.884429062018171,6080105.034500000067055,"2.654922138","32.41995059","0","0","35.07487273",149.11378,-35.40283
7070,7070,691805.209294467116706,6080105.034500000067055,692093.884429062018171,6079855.034500000067055,"2.769104182","28.79227055","0","0","31.56137473",149.11384,-35.40508
7071,7071,691805.209294467116706,6079855.034500000067055,692093.884429062018171,6079605.034500000998378,"2.553606875","29.06000341","0","0","31.61361028",149.11390,-35.40733
7072,7072,691805.209294467116706,6079605.034500000998378,692093.884429062018171,6079355.034500000067055,"0","22.39781049","0","0","22.39781049",149.11395,-35.40959
7073,7073,691805.209294467116706,6079355.034500000067055,692093.884429062018171,6079105.034500000067055,"0","9.651175363","0","0","9.651175363",149.11401,-35.41184
7074,7074,691805.209294467116706,6079105.034500000067055,692093.884429062018171,6078855.034500000067055,"0","2.202994356","0","0","2.202994356",149.11407,-35.41409
7075,7075,691805.209294467116706,6078855.034500000067055,692093.884429062018171,6078605.034500000067055,"0.739936274","1.285775385","0","0","2.025711659",149.11413,-35.41635
7076,7076,691805.209294467116706,6078605.034500000067055,692093.884429062018171,6078355.034500000067055,"3.255644782","17.78180994","0","0","21.03745473",149.11419,-35.41860
7077,7077,691805.209294467116706,6078355.034500000067055,692093.884429062018171,6078105.034500000067055,"4.325323038","19.40249744","0","0","23.72782048",149.11425,-35.42085
7078,7078,691805.209294467116706,6078105.034500000067055,692093.884429062018171,6077855.034500000067055,"0.45241825","37.67638461","0","0","38.12880286",149.11431,-35.42310
7079,7079,691805.209294467116706,6077855.034500000067055,692093.884429062018171,6077605.034500000067055,"7.902555849","27.54642696","0","0","35.44898281",149.11437,-35.42536
